索引,RSR排名,Probit,RSR拟合值,分档等级
467,81.0,6.39120205536241,0.6061759595354395,3
545,8.0,7.456903974645831,0.751337862580225,3
533,16.0,7.169694064175408,0.7122162879421283,3
532,17.0,7.144010667777755,0.7087178887835308,3
531,21.0,7.053335604240414,0.696366813362143,3
517,79.0,6.404533107179547,0.607991815185456,3
512,41.0,6.738731047909187,0.6535137460294795,3
511,44.0,6.7055704338395,0.6489968564964981,3
510,50.0,6.644368536763838,0.6406603942187272,3
509,64.0,6.513588931527052,0.622846579650032,3
508,96.0,6.2867019355423475,0.5919417388898689,3
507,118.0,6.154614690162658,0.5739498074123017,3
506,143.0,6.025122680009755,0.5563113793652457,3
515,40.0,6.750221617123385,0.6550789049768542,3
516,46.0,6.6844636845245375,0.6461218537943267,3
518,99.0,6.266860414784933,0.5892390761092805,3
