uid,地名,区划码,地级,地级码,地级类,省级,省级码,省级类,曾用名,备注,ENG_NAME,code,VAR_NAME,NAME_2,VAR_NAME2,GID_2,TYPE_2,NAME_1,VAR_NAME1,GID_1,TYPE_1,year,prep,supply,resource,NEIGHBORS,SUM,filled_data_provinceID,filled_data_provinceName,filled_data_cityName,filled_data_precipitation,filled_data_waterSupply,filled_data_totalWaterResources,filled_data_hostPop,filled_data_stayPop,filled_data_ConsummerSupply
"190",南京市,"320100",南京市,"320100",地级市,江苏省,"320000",省,,,Nanjing,"320100",Nán Jīng,Nanjing,Nán Jīng,"320100",Prefecture City,Jiangsu,Jiāng Sū,"320000",Province,"2018",12388.326,"92176","320800","321000,320400,341100,340500,341800,321100","73114",,,,,,,"233","77","1781"
"191",南宁市,"450100",南宁市,"450100",地级市,广西壮族自治区,"450000",自治区,,,Nanning,"450100",Nán Níng,Nanning,Nán Níng,"450100",Prefecture City,Guangxi,Guǎng Xī,"450000",Autonomous Region,"2018",12888.571,"47916","1442000","450800,451300,450700,451400,450600,451200,451000","26220",,,,,,,"569","560","14354"
"192",南平市,"350700",南平市,"350700",地级市,福建省,"350000",省,,,Nanping,"350700",Nán Píng,Nanping,Nán Píng,"350700",Prefecture City,Fujian,Fú Jiàn,"350000",Province,"2018",14975.737,"3259","1534100","360600,330800,361100,331100,350100,350900,350400,361000","60230",,,,,,,"657","168","1679"
"193",南通市,"320600",南通市,"320600",地级市,江苏省,"320000",省,,,Nantong,"320600",Nán Tōng,Nantong,Nán Tōng,"320600",Prefecture City,Jiangsu,Jiāng Sū,"320000",Province,"2018",12215.93,"20973","402134","321200,320500,310000,320900","321524",,,,,,,"1462","1459","105941"
"194",南阳市,"411300",南阳市,"411300",地级市,河南省,"410000",省,,,Nanyang,"411300",Nán Yáng,Nanyang,Nán Yáng,"411300",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",8821.22,"5568","585161","411500,411700,411200,410300,420600,410400,421300,611000,420300","57203",,,,,,,"1025","235","2411"
"195",内江市,"511000",内江市,"511000",地级市,四川省,"510000",省,,,Neijiang,"511000",Nèi Jiāng,Neijiang,Nèi Jiāng,"511000",Prefecture City,Sichuan,Sì Chuān,"510000",Province,"2018",10813.349,"3969","146560","500000,511400,512000,510500,510300","144376",,,,,,,"421","37","2165"
"196",宁波市,"330200",宁波市,"330200",地级市,浙江省,"330000",省,,,Ningbo,"330200",Níng Bō,Ningbo,Níng Bō,"330200",Prefecture City,Zhejiang,Zhè Jiāng,"330000",Province,"2018",14876.073,"53210","666000","330600,330400,331000","58704",,,,,,,"561","333","7625"
"197",宁德市,"350900",宁德市,"350900",地级市,福建省,"350000",省,,,Ningde,"350900",Níng Dé,Ningde,Níng Dé,"350900",Prefecture City,Fujian,Fú Jiàn,"350000",Province,"2018",16914.82,"2024","1183200","331100,350100,330300,350700","63735",,,,,,,"279","87","2127"
"198",怒江傈僳族自治州,"533300",怒江傈僳族自治州,"533300",自治州,云南省,"530000",省,,,Nujianglisuzu,"533300",Nù Jiāng Lì Sù Zú,Nujianglisuzu,Nù Jiāng Lì Sù Zú,"533300",Autonomous Prefecture,Yunnan,Yún Nán,"530000",Province,"2018",10880.715,"-1","-1","540400,530700,533400,530500,532900","3987",,,,,,,"-1","-1","-1"
"199",攀枝花市,"510400",攀枝花市,"510400",地级市,四川省,"510000",省,,,Panzhihua,"510400",Pān Zhī Huā,Panzhihua,Pān Zhī Huā,"510400",Prefecture City,Sichuan,Sì Chuān,"510000",Province,"2018",8968.579,"-1","507280","530700,513400,532300","2186",,,,,,,"352","80","3479"
"200",盘锦市,"211100",盘锦市,"211100",地级市,辽宁省,"210000",省,,,Panjin,"211100",Pán Jǐn,Panjin,Pán Jǐn,"211100",Prefecture City,Liaoning,Liáo Níng,"210000",Province,"2018",6048.153,"5149","20110","210300,210700,210800","18503",,,,,,,"295","95","-1"
"201",平顶山市,"410400",平顶山市,"410400",地级市,河南省,"410000",省,,,Pingdingshan,"410400",Píng Dǐng Shān,Pingdingshan,Píng Dǐng Shān,"410400",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",8623.037,"10128","163291","411700,410300,411300,411100,411000,410100","62349",,,,,,,"891","188","3286"
"202",平凉市,"620800",平凉市,"620800",地级市,甘肃省,"620000",省,,,Pingliang,"620800",Píng Liáng,Pingliang,Píng Liáng,"620800",Prefecture City,Gansu,Gān Sù,"620000",Province,"2018",7089.278,"999","-1","640400,621000,610400,610300,620400,621100,620500","19516",,,,,,,"55","30","2547"
"203",萍乡市,"360300",萍乡市,"360300",地级市,江西省,"360000",省,,,Pingxiang,"360300",Píng Xiāng,Pingxiang,Píng Xiāng,"360300",Prefecture City,Jiangxi,Jiāng Xī,"360000",Province,"2018",13642.317,"3384","242900","360900,430100,360800,430200","89125",,,,,,,"243","237","18078"
"204",莆田市,"350300",莆田市,"350300",地级市,福建省,"350000",省,,,Putian,"350300",Pú Tián,Putian,Pú Tián,"350300",Prefecture City,Fujian,Fú Jiàn,"350000",Province,"2018",13089.491,"6664","320500","350100,350500","46308",,,,,,,"454","56","2486"
"205",濮阳市,"410900",濮阳市,"410900",地级市,河南省,"410000",省,,,Puyang,"410900",Pú Yáng,Puyang,Pú Yáng,"410900",Prefecture City,Henan,Hé Nán,"410000",Province,"2018",7147.672,"6846","56869","371500,371700,370800,370900,410500,130400,410700","44325",,,,,,,"1180","278","6028"
"206",普洱市,"530800",普洱市,"530800",地级市,云南省,"530000",省,,,Puer,"530800",Pǔ ěr,Puer,Pǔ ěr,"530800",Prefecture City,Yunnan,Yún Nán,"530000",Province,"2018",14302.831,"1757","3449900","532500,530400,530900,532300,532900,532800","4177",,,,,,,"728","194","5310"
"207",七台河市,"230900",七台河市,"230900",地级市,黑龙江省,"230000",省,,,Qitaihe,"230900",Qī Tái Hé,Qitaihe,Qī Tái Hé,"230900",Prefecture City,Heilongjiang,Hēi Lóng Jiāng,"230000",Province,"2018",6531.317,"2298","88579","230300,230500,230800,230100,231000","37719",,,,,,,"173","-1","-1"
"208",齐齐哈尔市,"230200",齐齐哈尔市,"230200",地级市,黑龙江省,"230000",省,,,Qiqihaer,"230200",Qí Qí Hā ěr,Qiqihaer,Qí Qí Hā ěr,"230200",Prefecture City,Heilongjiang,Hēi Lóng Jiāng,"230000",Province,"2018",6290.52,"-1","632300","231100,150700,231200,220800,230600,152200","26762",,,,,,,"216","43","1339"
"209",潜江市,"429005",不统计,"0",不统计,湖北省,"420000",省,,,Qianjiang,"429005",Qián Jiāng,Qianjiang,Qián Jiāng,"0",NULL,Hubei,Hú Běi,"420000",Province,"2018",11349.923,"-1","-1","429006,429004,421000,420800","11655",,,,,,,"-1","-1","-1"
"210",黔东南苗族侗族自治州,"522600",黔东南苗族侗族自治州,"522600",自治州,贵州省,"520000",省,,,Qiandongnanmiaozudongzu,"522600",Qián Dōng Nán Miáo Zú Dòng Zú,Qiandongnanmiaozudongzu,Qián Dōng Nán Miáo Zú Dòng Zú,"522600",Autonomous Prefecture,Guizhou,Guì Zhōu,"520000",Province,"2018",12500.963,"-1","-1","431200,450200,451200,522700,520600,520300","28664",,,,,,,"-1","-1","-1"
"211",黔南布依族苗族自治州,"522700",黔南布依族苗族自治州,"522700",自治州,贵州省,"520000",省,,,Qiannanbuyizumiaozu,"522700",Qián Nán Bù Yī Zú Miáo Zú,Qiannanbuyizumiaozu,Qián Nán Bù Yī Zú Miáo Zú,"522700",Autonomous Prefecture,Guizhou,Guì Zhōu,"520000",Province,"2018",12358.63,"-1","-1","451200,522600,520300,451000,522300,520400,520100","39791",,,,,,,"-1","-1","-1"
"212",黔西南布依族苗族自治州,"522300",黔西南布依族苗族自治州,"522300",自治州,贵州省,"520000",省,,,Qianxinanbuyizumiaozu,"522300",Qián Xī Nán Bù Yī Zú Miáo Zú,Qianxinanbuyizumiaozu,Qián Xī Nán Bù Yī Zú Miáo Zú,"522300",Autonomous Prefecture,Guizhou,Guì Zhōu,"520000",Province,"2018",11633.34,"-1","-1","522700,451000,530300,520200,520400","14669",,,,,,,"-1","-1","-1"
"213",钦州市,"450700",钦州市,"450700",地级市,广西壮族自治区,"450000",自治区,,,Qinzhou,"450700",Qīn Zhōu,Qinzhou,Qīn Zhōu,"450700",Prefecture City,Guangxi,Guǎng Xī,"450000",Autonomous Region,"2018",14854.198,"5731","838000","450800,450500,450900,450600,450100","70702",,,,,,,"381","159","13751"
"214",秦皇岛市,"130300",秦皇岛市,"130300",地级市,河北省,"130000",省,,,Qinhuangdao,"130300",Qín Huáng Dǎo,Qinhuangdao,Qín Huáng Dǎo,"130300",Prefecture City,Hebei,Hé Běi,"130000",Province,"2018",6479.599,"8752","145600","130800,211400,211300,130200","22975",,,,,,,"758","334","6111"
"215",青岛市,"370200",青岛市,"370200",地级市,山东省,"370000",省,,,Qingdao,"370200",Qīng Dǎo,Qingdao,Qīng Dǎo,"370200",Prefecture City,Shandong,Shān Dōng,"370000",Province,"2018",7887.853,"43298","-1","370600,371100,370700","36137",,,,,,,"170","48","3553"
"216",清远市,"441800",清远市,"441800",地级市,广东省,"440000",省,,,Qingyuan,"441800",Qīng Yuǎn,Qingyuan,Qīng Yuǎn,"441800",Prefecture City,Guangdong,Guǎng Dōng,"440000",Province,"2018",15665.31,"12121","2373900","451100,431100,440200,431000,441200,440600,440100","362068",,,,,,,"455","61","3578"
"217",庆阳市,"621000",庆阳市,"621000",地级市,甘肃省,"620000",省,,,Qingyang,"621000",Qìng Yáng,Qingyang,Qìng Yáng,"621000",Prefecture City,Gansu,Gān Sù,"620000",Province,"2018",6626.086,"747","-1","640400,620800,610800,610400,610600,640500,640300","14369",,,,,,,"77","12","-1"
"218",琼海市,"469002",不统计,"0",不统计,海南省,"460000",省,,,Qionghai,"469002",Qióng Hǎi,Qionghai,Qióng Hǎi,"0",NULL,Hainan,Hǎi Nán,"460000",Province,"2018",19229.929,"-1","-1","469021,469022,469005,469030,469006","-5",,,,,,,"-1","-1","-1"
"219",琼中黎族苗族自治县,"469030",不统计,"0",不统计,海南省,"460000",省,,,Qiongzhonglizuandmiaozu,"469030",Qióng Zhōng Lí Zú  and Miáo Zú,NULL,NULL,"0",NULL,Hainan,Hǎi Nán,"460000",Province,"2018",19225.975,"-1","-1","460400,469023,469022,469028,469006,469002,469025,469001,469029","-9",,,,,,,"-1","-1","-1"
"220",曲靖市,"530300",曲靖市,"530300",地级市,云南省,"530000",省,,,Qujing,"530300",Qū Jìng,Qujing,Qū Jìng,"530300",Prefecture City,Yunnan,Yún Nán,"530000",Province,"2018",10635.386,"5014","1203375","532500,532600,451000,530100,522300,520200,520500,530600","44103",,,,,,,"536","174","6792"
"221",衢州市,"330800",衢州市,"330800",地级市,浙江省,"330000",省,,,Quzhou,"330800",Qú Zhōu,Quzhou,Qú Zhōu,"330800",Prefecture City,Zhejiang,Zhè Jiāng,"330000",Province,"2018",14699.35,"5158","806382","341000,330100,330700,361100,331100,350700","103233",,,,,,,"-1","-1","-1"
