appetite	食欲，欲望	n. 
applaud	称赞，拍手喝彩	v. 
applause	喝彩，欢呼	n. 
apple	苹果	n. 
appliance	用具，器械	n. 
applicable	生动的，适用的	adj. 
applicant	申请人	n. 
application	申请，应用	n. 
apply	应用，申请	v. 
appoint	任命，约定	v. 
appointment	任命，约会	n. 
appreciable	可看到的	adj. 
appreciably	相当大地	adv. 
appreciate	欣赏，感激	v. 
appreciation	欣赏，感激	n. 
appreciative	感激的	adj. 
apprentice	学校	n. 
apprize	通知	v. 
approach	接近	v. 
appropriate	恰当的	adj. 
approval	同意，批准	n. 
approve	赞成，批准	v. 
approximate	近似，约略	adj. v. 
approximately	近乎，大约	adv. 
approximation	近似值	n. 
april	四月	n. 
apt	恰当的，易于	adj. 
aptitude	才智，天资	n. 
arab	阿拉伯	n. 
arabian	阿拉伯人，阿拉伯语	n. 
arabic	阿拉伯的	adj. 
arbitrary	专横的，任意的	adj. 
arbitrate	仲裁	v. 
arbitration	仲裁	n. 
arbitrator	仲裁员	n. 
arc	弧	n. 
arch	拱门，弓形	n. 
archaeologist	考古学家	n. 
archaeology	考古学	n. 
architect	建筑师	n. 
architecture	建筑学	n. 
arctic	北极的	adj. 
ardent	热心的，强烈的	adj. 
arduous	艰巨的，努力的	adj. 
area	地区，面积，领域	n. 
arena	竞技场	n. 
argue	争论，辩论	v. 
argument	争论，论点	n. 
arise	起来，出现	v. 
aristocracy	贵族阶层	n. 
aristocrat	贵族	n. 
aristocratic	贵族的	adj. 
arithmetic	算术	n. 
arm	手臂，扶手	n. 
armchair	手扶椅	n. 
armour	盔甲，装甲	n. 
arms	武器	n. 
army	军队，陆军	n. 
around	在周围，大约	adv. 
arouse	唤醒，唤起	v. 
arrange	整理，安排	v. 
arrangement	安排，计划	n. 
array	装扮，排列	v. 
arrear	欠款	n. 
arrest	逮捕，吸引	v. 
arrival	到达，到货	n. 
arrive	到达，达到	v. 
arrogance	傲慢	n. 
arrogant	傲慢的	adj. 
arrogantly	傲慢地	adv. 
arrow	箭，箭头	n. 
art	艺术，技艺	n. 
article	文章，物品，冠词	n. 
